path_id	name
P-hsa04668-20	TNF signaling pathway: IKBKG
P-hsa04668-47	TNF signaling pathway: CASP7
P-hsa04668-48	TNF signaling pathway: CASP3
P-hsa04668-40	TNF signaling pathway: JUN
P-hsa04668-36	TNF signaling pathway: CREB3
P-hsa04668-38	TNF signaling pathway: CEBPB
P-hsa04668-128	TNF signaling pathway: CHUK*
P-hsa04668-111	TNF signaling pathway: BAG4
P-hsa04668-153	TNF signaling pathway: MAPK14*
P-hsa04668-102	TNF signaling pathway: AKT3
P-hsa04668-138	TNF signaling pathway: NFKB1*
P-hsa04668-141	TNF signaling pathway: JUN*
P-hsa04668-120	TNF signaling pathway: DNM1L
P-hsa04668-116	TNF signaling pathway: PGAM5
P-hsa04662-10	B cell receptor signaling pathway: GSK3B
P-hsa04662-6	B cell receptor signaling pathway: NFKB1
P-hsa04662-16	B cell receptor signaling pathway: VAV3
P-hsa04662-24	B cell receptor signaling pathway: FOS
P-hsa04662-27	B cell receptor signaling pathway: NFATC1
P-hsa04662-29	B cell receptor signaling pathway: RAC1
P-hsa04662-32 51	B cell receptor signaling pathway: BLNK GRB2
P-hsa04662-36	B cell receptor signaling pathway: CD79A
P-hsa04662-35	B cell receptor signaling pathway: CD79B
P-hsa04630-35	Jak-STAT signaling pathway: MTOR
P-hsa04630-33	Jak-STAT signaling pathway: RAF1
P-hsa04630-7	Jak-STAT signaling pathway: BCL2
P-hsa04630-31	Jak-STAT signaling pathway: BCL2L1
P-hsa04630-1	Jak-STAT signaling pathway: MYC
P-hsa04630-30	Jak-STAT signaling pathway: CDKN1A
P-hsa04630-34	Jak-STAT signaling pathway: AOX1
P-hsa04630-36	Jak-STAT signaling pathway: GFAP
P-hsa04630-24	Jak-STAT signaling pathway: MCL1
P-hsa04630-27	Jak-STAT signaling pathway: PIM1
P-hsa04630-28	Jak-STAT signaling pathway: CCND1
P-hsa04621-6	NOD-like receptor signaling pathway: NFKB1
P-hsa04621-4 7 8	NOD-like receptor signaling pathway: IKBKG CHUK IKBKB
P-hsa04621-43	NOD-like receptor signaling pathway: MAPK1
P-hsa04621-42	NOD-like receptor signaling pathway: MAPK8
P-hsa04621-44	NOD-like receptor signaling pathway: MAPK14
P-hsa04621-28	NOD-like receptor signaling pathway: CASP8
P-hsa04621-33 35	NOD-like receptor signaling pathway: NLRC4 PYCARD
P-hsa04621-34 35	NOD-like receptor signaling pathway: CASP1 PYCARD
P-hsa04621-21 30	NOD-like receptor signaling pathway: NLRP3 PYCARD
P-hsa04621-30 32	NOD-like receptor signaling pathway: PYCARD CASP1
P-hsa04621-23	NOD-like receptor signaling pathway: CASP1
P-hsa04621-29	NOD-like receptor signaling pathway: CASP5
P-hsa04621-21 31 41	NOD-like receptor signaling pathway: NLRP3 CARD8 CASP1
